district_id,province,district,yuzey_alani_km2,tesvik_bolgesi,kayit_sayisi
TR-1144f4931c,HAKKARİ,ÇUKURCA,0,6.0,365
TR-df71a3b0f5,HAKKARİ,ŞEMDİNLİ,0,6.0,365
TR-aba26f2627,HATAY,ALTINÖZÜ,392,4.0,365
TR-d102621bbd,HATAY,ANTAKYA,703,4.0,365
TR-b628c2c4a0,HATAY,BELEN,184,4.0,365
TR-c27e5ce9fb,HATAY,DÖRTYOL,342,4.0,365
TR-6da13e5410,HATAY,ERZİN,258,4.0,365
TR-bcdbbed4f5,HATAY,HASSA,520,4.0,365
TR-24b7c65e51,HATAY,KIRIKHAN,715,4.0,365
TR-5c6726e774,HATAY,KUMLU,193,4.0,365
TR-b3db733624,HATAY,REYHANLI,367,4.0,365
TR-e396f8accb,HATAY,SAMANDAĞ,384,4.0,365
TR-3eb15c39d3,HATAY,YAYLADAĞI,445,4.0,365
TR-7124a4b700,HATAY,İSKENDERUN,247,4.0,365
TR-ec52c31381,ISPARTA,AKSU,544,2.0,365
TR-42010a34b9,ISPARTA,ATABEY,223,2.0,365
TR-253f73c97d,ISPARTA,EĞİRDİR(EĞRİDİR),0,2.0,365
TR-423a51fb80,ISPARTA,GELENDOST,610,2.0,365
TR-af0df99282,ISPARTA,GÖNEN,285,2.0,365
TR-7a65203fa1,ISPARTA,ISPARTA,0,2.0,365
TR-ac16534994,ISPARTA,KEÇİBORLU,494,2.0,365
TR-0b1a45b94a,ISPARTA,SENİRKENT,521,2.0,365
